date,hour,datetime,province,province_slug,source_traffic_file,location_name,lat,lon,model_lat,model_lon,elevation,timezone,source_model,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,us_aqi_pm2_5,us_aqi_pm10,us_aqi_nitrogen_dioxide,us_aqi_carbon_monoxide,us_aqi_ozone,us_aqi_sulphur_dioxide
2026-01-01,00:00,2026-01-01T00:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,22.1,20.1,471.0,29.0,21.3,64.0,101,101,34,14,9,59,12
2026-01-01,01:00,2026-01-01T01:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,20.7,18.6,434.0,28.3,19.5,64.0,101,101,34,14,9,45,11
2026-01-01,02:00,2026-01-01T02:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,20.6,18.5,407.0,28.1,18.7,61.0,100,100,34,14,9,38,10
2026-01-01,03:00,2026-01-01T03:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,21.8,19.6,411.0,28.7,19.2,58.0,100,100,34,14,8,34,10
2026-01-01,04:00,2026-01-01T04:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,23.9,21.6,486.0,30.7,21.7,53.0,99,99,34,15,6,31,12
2026-01-01,05:00,2026-01-01T05:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,26.8,24.3,710.0,36.0,28.2,45.0,98,98,33,18,5,29,15
2026-01-01,06:00,2026-01-01T06:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,31.8,29.1,1004.0,42.8,36.6,35.0,97,97,33,21,5,27,20
2026-01-01,07:00,2026-01-01T07:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,38.4,35.5,1172.0,42.4,35.4,35.0,94,94,32,21,5,26,19
2026-01-01,08:00,2026-01-01T08:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,34.9,31.9,1101.0,37.1,33.1,54.0,93,93,31,18,6,24,18
2026-01-01,09:00,2026-01-01T09:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,31.9,28.1,903.0,29.5,29.8,82.0,92,92,31,15,7,23,16
2026-01-01,10:00,2026-01-01T10:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,30.6,26.6,718.0,22.4,26.7,109.0,92,92,31,11,7,25,15
2026-01-01,11:00,2026-01-01T11:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,27.6,26.1,585.0,16.2,23.8,136.0,91,91,30,8,8,27,13
2026-01-01,12:00,2026-01-01T12:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,29.0,27.8,465.0,10.6,21.1,164.0,91,91,30,5,8,32,12
2026-01-01,13:00,2026-01-01T13:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,30.0,28.9,377.0,6.8,19.1,184.0,91,91,30,3,8,38,10
2026-01-01,14:00,2026-01-01T14:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,29.6,28.6,285.0,4.7,17.4,195.0,91,91,30,2,8,46,9
2026-01-01,15:00,2026-01-01T15:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,30.0,29.2,226.0,4.6,16.5,198.0,91,91,30,2,7,71,9
2026-01-01,16:00,2026-01-01T16:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,31.9,31.1,327.0,8.3,18.3,190.0,105,91,30,4,6,105,10
2026-01-01,17:00,2026-01-01T17:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,41.2,40.4,777.0,19.4,25.7,165.0,134,91,30,10,5,134,14
2026-01-01,18:00,2026-01-01T18:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,57.5,56.8,1387.0,34.4,35.8,130.0,151,91,30,17,5,151,20
2026-01-01,19:00,2026-01-01T19:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,77.5,76.8,1725.0,55.7,49.2,91.0,155,91,30,27,5,155,27
2026-01-01,20:00,2026-01-01T20:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,58.9,58.1,1513.0,49.1,44.0,88.0,147,92,30,24,7,147,24
2026-01-01,21:00,2026-01-01T21:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,44.8,43.2,1029.0,40.1,36.7,82.0,130,92,31,20,8,130,20
2026-01-01,22:00,2026-01-01T22:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,32.5,30.9,672.0,33.8,30.9,76.0,109,93,31,17,9,109,17
2026-01-01,23:00,2026-01-01T23:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,27.5,25.4,629.0,32.8,27.6,68.0,93,93,31,16,9,84,15
2026-01-02,00:00,2026-01-02T00:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,26.9,24.6,714.0,34.6,25.8,59.0,93,93,31,17,10,56,14
2026-01-02,01:00,2026-01-02T01:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,31.0,28.5,768.0,37.0,25.2,50.0,94,94,31,18,10,44,14
2026-01-02,02:00,2026-01-02T02:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,35.9,33.3,726.0,40.1,26.3,40.0,95,95,32,20,10,37,14
2026-01-02,03:00,2026-01-02T03:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,39.2,36.8,653.0,43.8,28.7,29.0,96,96,32,22,9,32,16
2026-01-02,04:00,2026-01-02T04:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,41.2,39.0,584.0,45.5,31.0,22.0,97,97,33,22,8,29,17
2026-01-02,05:00,2026-01-02T05:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,41.1,39.2,529.0,44.0,33.0,18.0,99,99,34,22,7,25,18
2026-01-02,06:00,2026-01-02T06:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,40.3,38.8,477.0,40.4,35.0,18.0,100,100,34,20,6,21,19
2026-01-02,07:00,2026-01-02T07:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,45.5,43.9,434.0,35.4,35.3,28.0,101,101,34,17,6,18,19
2026-01-02,08:00,2026-01-02T08:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,36.9,35.6,393.0,30.6,33.8,51.0,102,102,35,15,6,15,18
2026-01-02,09:00,2026-01-02T09:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,28.8,27.6,361.0,23.8,31.8,85.0,103,103,35,12,6,15,17
2026-01-02,10:00,2026-01-02T10:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,27.6,26.7,362.0,17.9,29.7,118.0,103,103,35,9,5,17,16
2026-01-02,11:00,2026-01-02T11:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,27.5,26.5,428.0,13.7,27.8,150.0,103,103,35,7,5,21,15
2026-01-02,12:00,2026-01-02T12:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,30.0,29.0,526.0,10.4,25.9,182.0,103,103,35,5,4,28,14
2026-01-02,13:00,2026-01-02T13:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,31.5,30.5,582.0,8.3,24.4,204.0,103,103,35,4,4,38,13
2026-01-02,14:00,2026-01-02T14:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,32.1,31.2,531.0,6.5,22.7,215.0,103,103,35,3,4,48,12
2026-01-02,15:00,2026-01-02T15:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,32.2,31.2,437.0,5.9,21.4,218.0,103,103,35,3,4,86,12
2026-01-02,16:00,2026-01-02T16:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,31.9,30.9,419.0,9.0,22.7,207.0,127,103,35,4,4,127,12
2026-01-02,17:00,2026-01-02T17:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,35.0,34.0,537.0,19.0,28.6,175.0,157,103,35,9,4,157,16
2026-01-02,18:00,2026-01-02T18:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,48.2,47.3,731.0,32.7,37.0,131.0,172,103,35,16,5,172,20
2026-01-02,19:00,2026-01-02T19:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,56.5,53.7,934.0,43.3,42.2,88.0,174,102,34,21,5,174,23
2026-01-02,20:00,2026-01-02T20:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,53.0,50.5,1193.0,44.8,43.7,75.0,164,99,33,22,6,164,24
2026-01-02,21:00,2026-01-02T21:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,52.3,49.8,1462.0,46.7,45.7,56.0,146,99,33,23,6,146,25
2026-01-02,22:00,2026-01-02T22:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,54.8,51.8,1538.0,47.8,46.1,41.0,114,99,34,24,8,114,25
2026-01-02,23:00,2026-01-02T23:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,58.2,55.4,1249.0,48.0,43.9,32.0,101,101,34,24,9,77,24
2026-01-03,00:00,2026-01-03T00:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,60.1,57.6,768.0,47.4,40.1,28.0,105,105,36,23,10,47,22
2026-01-03,01:00,2026-01-03T01:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,51.8,49.9,403.0,44.6,35.7,26.0,108,108,37,22,10,36,19
2026-01-03,02:00,2026-01-03T02:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,42.7,41.1,283.0,37.8,30.3,29.0,110,110,38,19,10,28,17
2026-01-03,03:00,2026-01-03T03:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,35.9,34.3,281.0,28.9,24.4,36.0,111,111,38,14,9,22,13
2026-01-03,04:00,2026-01-03T04:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,30.0,29.1,323.0,22.3,20.4,42.0,111,111,38,11,9,19,11
2026-01-03,05:00,2026-01-03T05:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,26.0,25.3,408.0,20.3,19.7,43.0,110,110,37,10,8,17,11
2026-01-03,06:00,2026-01-03T06:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,23.5,22.9,538.0,20.7,21.0,42.0,108,108,37,10,6,16,11
2026-01-03,07:00,2026-01-03T07:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,30.7,29.7,641.0,22.1,22.0,47.0,107,107,36,11,5,16,12
2026-01-03,08:00,2026-01-03T08:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,27.7,26.8,696.0,22.1,24.5,58.0,105,105,36,11,4,17,13
2026-01-03,09:00,2026-01-03T09:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,28.6,27.5,726.0,22.0,27.8,75.0,104,104,35,11,4,19,15
2026-01-03,10:00,2026-01-03T10:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,30.0,28.6,723.0,20.8,30.1,97.0,104,104,35,10,5,22,16
2026-01-03,11:00,2026-01-03T11:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,33.2,31.4,671.0,17.4,30.3,129.0,104,104,35,9,5,26,17
2026-01-03,12:00,2026-01-03T12:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,36.3,34.5,587.0,12.9,29.5,166.0,105,105,35,6,6,31,16
2026-01-03,13:00,2026-01-03T13:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,39.9,38.1,519.0,9.8,28.7,195.0,106,106,36,5,6,38,16
2026-01-03,14:00,2026-01-03T14:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,42.8,41.0,473.0,8.2,27.6,214.0,106,106,36,4,6,47,15
2026-01-03,15:00,2026-01-03T15:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,44.5,42.6,443.0,7.9,26.5,226.0,107,107,36,4,6,75,14
2026-01-03,16:00,2026-01-03T16:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,44.9,43.2,462.0,11.3,27.6,221.0,113,109,37,6,6,113,15
2026-01-03,17:00,2026-01-03T17:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,49.2,47.6,544.0,21.5,32.9,190.0,148,110,37,11,6,148,18
2026-01-03,18:00,2026-01-03T18:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,62.2,60.8,675.0,35.3,40.4,144.0,167,111,38,17,5,167,22
2026-01-03,19:00,2026-01-03T19:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,67.5,66.4,842.0,52.7,49.1,86.0,174,113,38,26,5,174,27
2026-01-03,20:00,2026-01-03T20:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,58.9,57.0,1099.0,53.7,49.7,72.0,167,114,39,26,5,167,27
2026-01-03,21:00,2026-01-03T21:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,55.1,53.1,1392.0,55.1,50.3,53.0,152,115,39,27,6,152,27
2026-01-03,22:00,2026-01-03T22:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,55.2,53.3,1543.0,55.9,50.0,37.0,123,115,39,28,7,123,27
2026-01-03,23:00,2026-01-03T23:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,58.3,55.9,1445.0,56.4,48.2,29.0,115,115,39,28,8,85,26
2026-01-04,00:00,2026-01-04T00:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,58.9,56.2,1205.0,56.5,45.4,24.0,115,115,39,28,10,48,25
2026-01-04,01:00,2026-01-04T01:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,58.9,56.6,967.0,54.5,42.1,22.0,115,115,39,27,11,37,23
2026-01-04,02:00,2026-01-04T02:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,49.1,47.6,749.0,49.2,38.2,23.0,116,116,39,24,11,27,21
2026-01-04,03:00,2026-01-04T03:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,42.5,41.3,533.0,41.9,33.9,26.0,116,116,40,21,11,20,18
2026-01-04,04:00,2026-01-04T04:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,37.5,36.3,406.0,35.3,30.2,30.0,117,117,40,17,11,17,16
2026-01-04,05:00,2026-01-04T05:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,32.5,31.5,444.0,30.4,27.6,32.0,118,118,40,15,10,14,15
2026-01-04,06:00,2026-01-04T06:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,27.6,26.7,571.0,26.3,25.6,35.0,119,119,40,13,9,13,14
2026-01-04,07:00,2026-01-04T07:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,29.9,29.5,645.0,22.2,25.4,40.0,119,119,41,11,8,13,14
2026-01-04,08:00,2026-01-04T08:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,27.0,26.3,595.0,19.7,25.1,59.0,119,119,41,10,7,13,14
2026-01-04,09:00,2026-01-04T09:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,23.6,22.4,493.0,16.3,24.7,86.0,119,119,41,8,6,15,13
2026-01-04,10:00,2026-01-04T10:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,23.5,21.9,407.0,13.0,23.7,111.0,118,118,40,6,5,19,13
2026-01-04,11:00,2026-01-04T11:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,24.1,22.2,364.0,10.1,21.6,133.0,118,118,40,5,5,24,12
2026-01-04,12:00,2026-01-04T12:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,24.2,22.2,338.0,7.3,19.0,154.0,117,117,40,4,5,30,10
2026-01-04,13:00,2026-01-04T13:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,24.4,22.5,321.0,5.7,17.2,169.0,115,115,39,3,5,38,9
2026-01-04,14:00,2026-01-04T14:00,Hồ Chí Minh,ho_chi_minh,traffic_ho_chi_minh_2025_old_map.csv,Hoc_Mon,10.8836,106.5897,10.900002,106.600006,6.0,Asia/Ho_Chi_Minh,cams_global,25.1,23.1,277.0,4.1,15.7,179.0,114,114,39,2,5,46,9
